,tc,family,cf,order
650397.cif,1.9,heavy-Fermion,Th3Rh4Sn13,order
650458.cif,2.15,heavy-Fermion,Th7Rh3,order
650471.cif,0.36,heavy-Fermion,Th1Rh1,order
650642.cif,1.1,heavy-Fermion,Th1Ru2Si2,order
650643.cif,3.98,heavy-Fermion,Th1Ru3Si2,order
651750.cif,1.3,heavy-Fermion,Yb1Sb2,order
656946.cif,2.59,heavy-Fermion,La7Rh3,order
657383.cif,3.6,heavy-Fermion,La1Sn2,order
657574.cif,1.864,heavy-Fermion,U1Pd2Al3,order
658208.cif,1.0,heavy-Fermion,La1Ni1Sb2,order
658217.cif,2.7,heavy-Fermion,La1Pd1Sb2,order
658225.cif,0.9,heavy-Fermion,La1Cu1Sb2,order
658347.cif,1.17,heavy-Fermion,Yb1Pd2Ge2,order
659009.cif,6.966667,heavy-Fermion,Th1Ni2B2C1,order
659011.cif,6.6,heavy-Fermion,Th1Pt2B2C1,order
659142.cif,1.021,heavy-Fermion,U1Ni2Al3,order
670737.cif,6.0,heavy-Fermion,La1Cu1,order
671240.cif,10.25,heavy-Fermion,La1Pt2B2C1,order
671243.cif,15.880667,heavy-Fermion,Lu1Ni2B2C1,order
671505.cif,0.75,heavy-Fermion,Th1Pt3B1,order
671587.cif,1.073333,heavy-Fermion,La1Ag1,order
672003.cif,3.6,heavy-Fermion,Yb1Sn3,order
676102.cif,0.669222,heavy-Fermion,Ce1Pt3Si1,order
75610.cif,2.786667,heavy-Fermion,Lu1Ni1B1C1,order
77899.cif,1.1,heavy-Fermion,Th1Pd2Si2,order
77939.cif,1.96,heavy-Fermion,La1Ni1B1N1,order
78264.cif,1.23,heavy-Fermion,La1Ni1Si1,order
79575.cif,7.532353,heavy-Fermion,Ho1Ni2B2C1,order
81760.cif,1.04,heavy-Fermion,La1Pd2Ge2,order
99244.cif,3.34,heavy-Fermion,Ce1Ir3,order
97102.cif,134.0,cuprate,Ba2Ca2Cu3Hg1O8.35,disorder
80716.cif,127.0,cuprate,Ba2Ca1Cu2Hg1O6.22,disorder
66051.cif,108.0,cuprate,Bi1.6Ca2Cu3O10Pb0.4Sr2,disorder
74167.cif,105.2,cuprate,Ca0.8Cu2O7Pb0.5Sr2Tl0.5Y0.2,disorder
291054.cif,97.0,cuprate,Ba2Cu1Hg1O4.15,disorder
65923.cif,93.0,cuprate,Ba2Cu3La1O6.85,disorder
65423.cif,93.0,cuprate,Ba2Cu3O6.85Y1,disorder
78456.cif,92.45,cuprate,Ba2Cu3Gd1O6.99,disorder
74122.cif,92.3,cuprate,Ba2Cu3Dy1O6.9,disorder
81176.cif,92.033333,cuprate,Ba2Cu3Er1O7,order
81174.cif,92.475,cuprate,Ba2Cu3Ho1O7,order
99286.cif,91.1,cuprate,Ba1.8Cu3Nd1O6.96Sr0.2,disorder
71730.cif,90.0,cuprate,Ba2Cu3O6.89Sm1,disorder
65879.cif,88.0,cuprate,Ba2Cd0.25Cu1O6Tl1.75,disorder
75813.cif,87.357143,cuprate,Ba2Ca0.1Cu4O8Y0.9,disorder
69264.cif,87.0,cuprate,Ba4Cu7O15.03Y2,disorder
87093.cif,86.0,cuprate,Ba1.5Cu3O6.98Sr0.5Y1,disorder
72230.cif,86.0,cuprate,Ba1.6Ca0.1Cu4O8Sr0.4Yb0.9,disorder
72213.cif,85.0,cuprate,Bi1Ca0.5Cu2O8Pb1Sr2Y0.5,disorder
89198.cif,79.9,cuprate,Ba1.5Ca0.5Cu3La1O6.96,disorder
181819.cif,78.0,cuprate,Ba1Cu3Er1O6.94Sr1,disorder
74132.cif,76.0,cuprate,Ba1Ca1Cu3La1O6.85,disorder
99288.cif,75.0,cuprate,Ba1.4Cu3Nd1O6.94Sr0.6,disorder
83092.cif,70.0,cuprate,Ca2Cu3Ga1O9Sr2,disorder
74684.cif,71.0,cuprate,C1Cu2O10Pb0.5Sr4Tl0.5,disorder
75743.cif,68.0,cuprate,C1Cu2Hg0.3O10Pb0.7Sr4,disorder
82696.cif,61.0,cuprate,Ba2Ca0.2Cu3O6.49Y0.8,disorder
81160.cif,60.0,cuprate,Ca0.8Cu2O6.862Sr2Tl1.2,disorder
83088.cif,55.0,cuprate,Cu2.8O7Re0.2Sr2Y1,disorder
67854.cif,54.0,cuprate,Ca1Cu2La1.8O5.96Sr0.2,disorder
74271.cif,53.5,cuprate,C1Bi0.5Cu2O10Sr4Tl0.5,disorder
96010.cif,53.0,cuprate,Cu2Fe1O7.68Sr2Y1,disorder
81178.cif,51.7,cuprate,Ba2Cu3La0.5O7Pr0.5,disorder
75717.cif,50.5,cuprate,Ba2Cu4O8Pr0.5Y0.5,disorder
74155.cif,47.0,cuprate,Ca0.15Cu3O8Pb2Sr2Y0.85,disorder
73485.cif,45.2,cuprate,Cu1La2O4.086,disorder
183514.cif,45.0,cuprate,Ce0.6Cu2Gd1.4O10Ru1Sr2,disorder
151637.cif,45.0,cuprate,B0.2Ba1Ca0.2Cu2.8O7Sr1Y0.8,disorder
56599.cif,44.333333,cuprate,Cu1F2O2Sr2,disorder
83054.cif,41.5,cuprate,Cu1O2Pr0.1Sr0.9,disorder
80278.cif,38.0,cuprate,Ca0.4Cu2Ga1O7Sr2Y0.6,disorder
75718.cif,37.875,cuprate,Ba2Cu4O8Pr0.6Y0.4,disorder
67105.cif,37.6,cuprate,Ca0.5Cu2O6.75Sm0.5Sr2Tl1,disorder
151663.cif,36.3,cuprate,Cu2Gd1O8Ru0.99Sr2Ti0.01,disorder
69936.cif,32.0,cuprate,Cu1La1O5Sr1Tl1,disorder
74114.cif,32.0,cuprate,C0.85B0.15Cu1O5Sr2,disorder
79061.cif,30.0,cuprate,Bi2Cu1La0.3O6Sr1.7,disorder
74270.cif,30.0,cuprate,C1Bi2Cu2O11Sr4,disorder
75694.cif,30.0,cuprate,Ce0.6Cu3Eu1.6O8.6Sr1.8,disorder
185432.cif,28.0,cuprate,Ca0.25Cu2Ga1O7Sr2Tm0.75,disorder
72265.cif,22.1,cuprate,Ce0.5Cu2Nb1Nd1.5O10Sr2,disorder
72266.cif,25.0,cuprate,Ce0.5Cu2Nb1O10Sm1.5Sr2,disorder
72267.cif,23.5,cuprate,Ce0.5Cu2Eu1.5Nb1O10Sr2,disorder
87288.cif,22.1,cuprate,Ce0.15Cu1Nd1.85O3.95,disorder
65919.cif,20.0,cuprate,Cu1La0.75O3.95Sm1Sr0.25,disorder
72248.cif,18.057143,cuprate,Ce0.15Cu1O4Sm1.85,disorder
69481.cif,8.8,cuprate,Ce0.15Cu1La1Nd0.85O4,disorder
72249.cif,7.75,cuprate,Ce0.15Cu1Eu1.85O4,disorder
161972.cif,88.24,cuprate,Ba2Cu3Lu1O7,order
67128.cif,80.8,cuprate,Ba2Ca1Cu2O7Tl1,order
67637.cif,74.466667,cuprate,Ba2Cu4Dy1O8,order
68188.cif,88.25,cuprate,Bi2Ca1Cu2O8Sr2,order
68584.cif,118.975,cuprate,Ba2Ca2Cu3O10Tl2,order
75688.cif,76.2,cuprate,Ba2Cu4Ho1O8,order
78622.cif,79.42,cuprate,Ba2Cu4O8Tm1,order
81177.cif,90.833333,cuprate,Ba2Cu3O7Tm1,order
K1H6.cif,69.8,h_based,K1H6,order
Be1H2.cif,62.0,h_based,Be1H2,order
H6Sr1.cif,156.0,h_based,H6Sr1,order
H4Y1.cif,95.0,h_based,H4Y1,order
H6La1.cif,170.0,h_based,H6La1,order
H9Y1.cif,250.0,h_based,H9Y1,order
H1Zr1.cif,11.0,h_based,H1Zr1,order
H2Nb1.cif,4.0,h_based,H2Nb1,order
Cr1H3.cif,28.2,h_based,Cr1H3,order
H3Tc1.cif,9.94,h_based,H3Tc1,order
H2Tc1.cif,8.61,h_based,H2Tc1,order
Fe1H6.cif,42.9,h_based,Fe1H6,order
Fe1H5.cif,45.8,h_based,Fe1H5,order
B1H3.cif,125.0,h_based,B1H3,order
Ge1H8.cif,90.0,h_based,Ge1H8,order
H4Nb1.cif,47.0,h_based,H4Nb1,order
H8Sn1.cif,72.0,h_based,H8Sn1,order
H12Sn1.cif,93.0,h_based,H12Sn1,order
H14Sn1.cif,97.0,h_based,H14Sn1,order
Bi1H4.cif,93.0,h_based,Bi1H4,order
H1Se2.cif,5.0,h_based,H1Se2,order
H5Te2.cif,58.0,h_based,H5Te2,order
H2Ti1.cif,7.0,h_based,H2Ti1,order
H2Ta1.cif,7.1,h_based,H2Ta1,order
H4Ta1.cif,31.0,h_based,H4Ta1,order
H6Ta1.cif,135.8,h_based,H6Ta1,order
Cr1H1.cif,10.6,h_based,Cr1H1,order
H3Ru1.cif,3.57,h_based,H3Ru1,order
H1Pd1.cif,5.0,h_based,H1Pd1,order
Ge1H4.cif,57.0,h_based,Ge1H4,order
H4Sn1.cif,62.0,h_based,H4Sn1,order
Bi1H2.cif,39.0,h_based,Bi1H2,order
Bi1H3.cif,65.0,h_based,Bi1H3,order
H3Sb1.cif,68.0,h_based,H3Sb1,order
Bi1H6.cif,113.0,h_based,Bi1H6,order
H4Te1.cif,104.0,h_based,H4Te1,order
Ge3H11.cif,43.0,h_based,Ge3H11,order
Hf1H2.cif,12.0,h_based,Hf1H2,order
In1H3.cif,40.5,h_based,In1H3,order
In1H5.cif,27.1,h_based,In1H5,order
La1Y3H24.cif,145.0,h_based,La1Y3H24,order
Os1H1.cif,2.1,h_based,Os1H1,order
Po1H4.cif,53.6,h_based,Po1H4,order
Sc1H9.cif,180.0,h_based,Sc1H9,order
Sc1H12.cif,141.0,h_based,Sc1H12,order
Th1H9.cif,145.0,h_based,Th1H9,order
Y1H6.cif,290.0,h_based,Y1H6,order
H3S1.cif,203.0,h_based,H3S1,order
H3Sc1.cif,1.0,h_based,H3Sc1,order
Bi1H1.cif,30.0,h_based,Bi1H1,order
H1Po1.cif,0.65,h_based,H1Po1,order
H2V1.cif,0.5,h_based,H2V1,order
H1Ru1.cif,0.41,h_based,H1Ru1,order
H2Sc1.cif,4.0,h_based,H2Sc1,order
B1H1.cif,21.4,h_based,B1H1,order
Ge1H3.cif,90.0,h_based,Ge1H3,order
H1Te1.cif,44.2,h_based,H1Te1,order
H7Sc1.cif,169.0,h_based,H7Sc1,order
Ce1H9.cif,117.0,h_based,Ce1H9,order
H9La1.cif,30.0,h_based,H9La1,order
H2S1.cif,86.0,h_based,H2S1,order
Tb1H10.cif,277.8,h_based,Tb1H10,order
Ca1Y1H12.cif,258.0,h_based,Ca1Y1H12,order
Ca1H6.cif,235.0,h_based,Ca1H6,order
Tb1H9.cif,226.3,h_based,Tb1H9,order
Hf1H10.cif,224.0,h_based,Hf1H10,order
Zr1H10.cif,220.0,h_based,Zr1H10,order
Tb1H12.cif,170.5,h_based,Tb1H12,order
Li1P2H14.cif,169.0,h_based,Li1P2H14,order
Tb1H6.cif,148.3,h_based,Tb1H6,order
Sc1H6.cif,129.0,h_based,Sc1H6,order
H3Se1.cif,110.0,h_based,H3Se1,order
Pb1H8.cif,107.0,h_based,Pb1H8,order
Sc1H4.cif,98.0,h_based,Sc1H4,order
Y1S1H6.cif,91.0,h_based,Y1S1H6,order
Tb1H5.cif,79.3,h_based,Tb1H5,order
Mg1Ge1H6.cif,67.0,h_based,Mg1Ge1H6,order
Mg1Si1H6.cif,63.0,h_based,Mg1Si1H6,order
N1S1H5.cif,49.9,h_based,N1S1H5,order
N1S2H7.cif,46.4,h_based,N1S2H7,order
Ba1C3H12.cif,43.7,h_based,Ba1C3H12,order
Tb1H4.cif,41.3,h_based,Tb1H4,order
H1Se1.cif,40.0,h_based,H1Se1,order
La1S1H6.cif,35.0,h_based,La1S1H6,order
H2I1.cif,33.0,h_based,H2I1,order
Sc1Y1H6.cif,32.11,h_based,Sc1Y1H6,order
Mg1V1H6.cif,27.6,h_based,Mg1V1H6,order
H1Br1.cif,30.0,h_based,H1Br1,order
Tb1H3.cif,20.0,h_based,Tb1H3,order
H1Cl1.cif,20.0,h_based,H1Cl1,order
H4I1.cif,17.5,h_based,H4I1,order
Ba1C2H8.cif,16.2,h_based,Ba1C2H8,order
Zr1H3.cif,11.7,h_based,Zr1H3,order
Li1B1H2.cif,10.0,h_based,Li1B1H2,order
Tb1H2.cif,8.06,h_based,Tb1H2,order
Tb1H1.cif,7.3,h_based,Tb1H1,order
Li1Au1H1.cif,4.69,h_based,Li1Au1H1,order
N2S1H8.cif,4.0,h_based,N2S1H8,order
Zr4H15.cif,4.0,h_based,Zr4H15,order
Li6Au1H1.cif,2.79,h_based,Li6Au1H1,order
Li1Au2H1.cif,0.06,h_based,Li1Au2H1,order
Li2Au2H1.cif,0.02,h_based,Li2Au2H1,order
La1H10.cif,254.0,h_based,La1H10,order
100193.cif,1.12,others,Cs0.32O3W1,disorder
102028.cif,0.138,others,Cd0.9Mg0.1,disorder
627675.cif,0.084,others,Cu0.85Ge0.15,disorder
103963.cif,10.5,others,Ga0.2Si0.8V3,disorder
104166.cif,0.1,others,Ag0.65Al0.35,disorder
104276.cif,10.45,others,Hf0.87Ta0.13V2,disorder
104280.cif,8.8,others,Hf0.8Ti0.2V2,disorder
104300.cif,3.81,others,Hg1In1,order
104438.cif,4.06,others,Ho0.1Pd2Sn1Y0.9,disorder
104509.cif,4.75,others,Ir1.05Nb0.95,disorder
640895.cif,3.61,heavy-Fermion,Ir1Os1Th1,disorder
104567.cif,0.067,others,Ir0.9Ta0.1,disorder
104729.cif,5.15,others,La0.8Th0.2,disorder
105074.cif,4.56,others,Mo0.8Pt0.2,disorder
105079.cif,10.0,others,Mo0.75Re0.25,disorder
105080.cif,11.633333,others,Mo0.6Re0.4,disorder
105102.cif,12.0,others,Mo0.3Tc0.7,disorder
105197.cif,1.98,others,Nb0.8Pd0.2,disorder
105206.cif,2.5,others,Nb0.9Pt0.1,disorder
647009.cif,0.54,heavy-Fermion,Ni1U6,order
105579.cif,1.5,others,Os0.1W0.9,disorder
648942.cif,2.82,heavy-Fermion,Pd2Sn1Tm1,order
105702.cif,4.03,others,Pd2Sn1Y0.7Yb0.3,disorder
105723.cif,4.71,others,Pd0.2Ti0.8,disorder
105983.cif,5.95,others,Rh0.07Zr0.93,disorder
106124.cif,5.28,others,Ta0.17Zr0.83,disorder
106145.cif,10.99,others,Tc0.95V0.05,disorder
106148.cif,10.4,others,Tc0.9W0.1,disorder
106190.cif,1.36,others,Ti0.3Zr0.7,disorder
107988.cif,0.0682,others,Au0.92Ga0.04In0.04,disorder
108016.cif,1.99,others,Au0.3Te0.7,disorder
108341.cif,4.83,others,Cr0.1Nb0.9,disorder
108628.cif,0.6,others,Nb0.6Ru0.4,disorder
108755.cif,3.3,others,Th0.2Zr0.8,disorder
151668.cif,34.575,cuprate,Cu2Gd1O8Rh0.05Ru0.95Sr2,disorder
151669.cif,29.8,cuprate,Cu2Gd1O8Rh0.075Ru0.925Sr2,disorder
151672.cif,12.9,cuprate,Cu2Gd1O8Rh0.2Ru0.8Sr2,disorder
153904.cif,21.2325,cuprate,Ce0.15Cu1Nd1.85O4,disorder
290510.cif,84.1,cuprate,Ba2Cu3O7Pr0.1Y0.9,disorder
157552.cif,22.0,cuprate,Cu2Gd1Ir0.1O8Ru0.9Sr2,disorder
15790.cif,10.05,others,Li1.1O4Ti1.9,disorder
160315.cif,4.126667,others,O3Rb0.2W1,disorder
160627.cif,14.0,cuprate,Ba2Cu3Nd1O6.6,disorder
161789.cif,7.4,iron-based,Fe1Se0.92,disorder
161913.cif,38.4,others,B2Mg0.98,disorder
161914.cif,38.25,others,B2Li0.05Mg0.95,disorder
161915.cif,36.916667,others,B2Li0.1Mg0.9,disorder
161916.cif,35.3,others,B2Li0.11Mg0.89,disorder
161917.cif,35.6,others,B1.96C0.04Li0.06Mg0.94,disorder
161918.cif,30.15,others,B1.84C0.16Li0.09Mg0.91,disorder
161919.cif,28.5,others,B1.82C0.18Li0.1Mg0.9,disorder
161920.cif,29.9,others,B1.88C0.12Li0.11Mg0.89,disorder
162823.cif,27.6,iron-based,As1Ce1F0.08Fe1O0.92,disorder
163548.cif,32.6,iron-based,As1F0.2Fe1Nd1O0.8,disorder
184639.cif,13.225,iron-based,Fe1Se0.25Te0.75,disorder
165983.cif,6.99,iron-based,Fe1Se0.99,disorder
168766.cif,11.9,iron-based,Fe1.03Se0.1Te0.9,disorder
168767.cif,12.7,iron-based,Fe1.02Se0.15Te0.85,disorder
168773.cif,13.6,iron-based,Fe1.02Se0.2Te0.8,disorder
168770.cif,11.0,iron-based,Fe1.04Se0.05Te0.95,disorder
262809.cif,91.7375,cuprate,Ba2Cu3O6.93Y1,order
169743.cif,20.8,iron-based,As1.06Ba1Fe2P0.94,disorder
1717.cif,2.0,others,O3Tl0.3W1,disorder
173902.cif,82.0,cuprate,Al0.11Ba2Cu2.89O7Y1,disorder
173908.cif,69.0,cuprate,Ba2Cu2.7Fe0.3O7.1Y1,disorder
173918.cif,61.966667,cuprate,Ba2Cu3O6.71Y1,disorder
180544.cif,10.0,iron-based,As1Ce1Co0.1Fe0.9O1,disorder
180604.cif,10.0,iron-based,Fe1S0.1Te0.9,disorder
180606.cif,7.36625,iron-based,Fe1S0.2Te0.8,disorder
180607.cif,7.28,iron-based,Fe1S0.25Te0.75,disorder
181435.cif,2.565,iron-based,As1Co0.05Fe0.95O1Sm1,disorder
181436.cif,13.3,iron-based,As1Co0.075Fe0.925O1Sm1,disorder
181437.cif,15.966667,iron-based,As1Co0.1Fe0.9O1Sm1,disorder
181438.cif,14.3,iron-based,As1Co0.125Fe0.875O1Sm1,disorder
181439.cif,10.875,iron-based,As1Co0.15Fe0.85O1Sm1,disorder
181440.cif,5.8,iron-based,As1Co0.175Fe0.825O1Sm1,disorder
181441.cif,1.895,iron-based,As1Co0.2Fe0.8O1Sm1,disorder
181442.cif,7.5,iron-based,As1Fe0.96Ni0.04O1Sm1,disorder
181444.cif,6.0,iron-based,As1Fe0.92Ni0.08O1Sm1,disorder
182595.cif,11.23,others,Ba1Bi0.3O3Pb0.7,disorder
184218.cif,20.05,iron-based,As2Ba1Co0.2Fe1.8,disorder
184634.cif,6.7,iron-based,Fe1Se0.05Te0.95,disorder
184635.cif,11.5,iron-based,Fe1Se0.075Te0.925,disorder
184636.cif,10.033333,iron-based,Fe1Se0.1Te0.9,disorder
184638.cif,12.9,iron-based,Fe1Se0.2Te0.8,disorder
184640.cif,14.333333,iron-based,Fe1Se0.3Te0.7,disorder
184641.cif,14.1,iron-based,Fe1Se0.4Te0.6,disorder
184647.cif,25.061538,iron-based,As1F0.1Fe1La1O0.9,disorder
184666.cif,30.0,cuprate,Cu0.94La1.73O4Sr0.27Ti0.06,disorder
185467.cif,14.3,others,Fe1.03Se0.5Te0.5,disorder
638107.cif,6.86,others,Ge1V3,order
186391.cif,36.466667,others,Al0.05B2Mg0.95,disorder
186392.cif,34.3,others,Al0.1B2Mg0.9,disorder
186393.cif,31.5,others,Al0.15B2Mg0.85,disorder
671447.cif,28.71,others,Al0.2B2Mg0.8,disorder
196332.cif,8.1425,others,Ba8Si46,order
186653.cif,8.58,iron-based,As1Co0.025Fe0.975La1O1,disorder
186654.cif,12.01,iron-based,As1Co0.05Fe0.95La1O1,disorder
186655.cif,12.66,iron-based,As1Co0.075Fe0.925La1O1,disorder
186656.cif,11.02,iron-based,As1Co0.1Fe0.9La1O1,disorder
186657.cif,6.6,iron-based,As1Co0.125Fe0.875La1O1,disorder
186658.cif,3.0,iron-based,As1Co0.15Fe0.85La1O1,disorder
189025.cif,3.5,iron-based,As2Ba0.9Fe2K0.1,disorder
189028.cif,10.0,iron-based,As2Ba0.825Fe2K0.175,disorder
189030.cif,18.0,iron-based,As2Ba0.79Fe2K0.21,disorder
189031.cif,23.5,iron-based,As2Ba0.78Fe2K0.22,disorder
189032.cif,26.0,iron-based,As2Ba0.76Fe2K0.24,disorder
189033.cif,28.45,iron-based,As2Ba0.75Fe2K0.25,disorder
191041.cif,5.0,iron-based,Br0.18Fe1Se0.82,disorder
191042.cif,5.0,iron-based,Br0.3Fe1Se0.7,disorder
191388.cif,6.07,others,Co0.9Cu0.1Zr2,disorder
191389.cif,5.88,others,Co0.85Cu0.15Zr2,disorder
191390.cif,5.41,others,Co0.8Cu0.2Zr2,disorder
191391.cif,4.89,others,Co0.75Cu0.25Zr2,disorder
191392.cif,4.39,others,Co0.7Cu0.3Zr2,disorder
192129.cif,5.2,others,Bi0.9Sb0.1,disorder
192298.cif,5.3,iron-based,As2Ba0.85Fe2Na0.15,disorder
192303.cif,11.8,iron-based,As2Ba0.8Fe2Na0.2,disorder
192304.cif,23.8,iron-based,As2Ba0.7Fe2Na0.3,disorder
192305.cif,33.85,iron-based,As2Ba0.6Fe2Na0.4,disorder
192308.cif,24.2,iron-based,As2Ba0.3Fe2Na0.7,disorder
196272.cif,81.8,cuprate,Ba2Ca0.1Cu3O7Y0.9,disorder
196575.cif,9.8,others,C1Nb0.25Ta0.75,disorder
196836.cif,2.7,others,Nb0.75Rh1.25,disorder
196888.cif,12.7,others,C1Mo0.15Nb0.85,disorder
196889.cif,11.673,others,C1Mo0.85Nb0.15,disorder
196898.cif,14.6,others,Al1Nb2.91Zr0.09,disorder
196983.cif,6.75,others,Hg0.15Pb0.85,disorder
197020.cif,13.6,others,Al0.6Nb3Sn0.4,disorder
197757.cif,3.5,others,Sn0.1Tl0.9,disorder
198210.cif,0.0164,others,Au0.93In0.07,disorder
202873.cif,50.0,cuprate,Ba2Ca0.2Cu3O6.1Y0.8,disorder
203119.cif,44.7,cuprate,Ba2Ca0.26Cu3O6Y0.74,disorder
203120.cif,47.5,cuprate,Ba2Ca0.28Cu3O6Y0.72,disorder
236296.cif,12.0,others,C0.681Mo1,disorder
237005.cif,2.95,others,Cu0.7Ir2S4Zn0.3,disorder
237698.cif,1.87,heavy-Fermion,Ge1.8La1,disorder
24046.cif,1.98,others,O3Rb0.27W1,disorder
246431.cif,9.465833,heavy-Fermion,B2C1Er1Ni2,order
246432.cif,3.1,heavy-Fermion,B2C1Co0.1Er1Ni1.9,disorder
246433.cif,7.1,heavy-Fermion,B2C1Er0.8Ni2Tb0.2,disorder
246536.cif,37.95,others,Al0.01B2Mg0.99,disorder
247282.cif,6.0,iron-based,Fe1.035Se0.22Te0.78,disorder
247616.cif,14.8,iron-based,As2Ca1Co0.126Fe1.874,disorder
259577.cif,13.975,cuprate,Cu0.97La1.85Ni0.03O4Sr0.15,disorder
259578.cif,3.2005,cuprate,Cu0.96La1.85Ni0.04O4Sr0.15,disorder
259579.cif,2.1,cuprate,Cu0.95La1.85Ni0.05O4Sr0.15,disorder
261544.cif,19.0,others,Cl1Hf1N1Na0.29,disorder
261841.cif,16.533333,others,Mg0.05N0.92Nb0.95O0.08,disorder
291424.cif,21.0,iron-based,As2Ca0.6Fe2Na0.4,disorder
659391.cif,4.655,others,Ag1Se2Sn1,disorder
291692.cif,6.72,others,Ag0.76Se2Sn1.24,disorder
291694.cif,5.245,others,Ag0.95Se2Sn1.05,disorder
291695.cif,5.57,others,Ag0.92Se2Sn1.08,disorder
291697.cif,6.415,others,Ag0.81Se2Sn1.19,disorder
291699.cif,5.79,others,Ag1S0.2Se1.8Sn1,disorder
291808.cif,8.5,others,C0.1N0.9Nb1,disorder
291809.cif,17.6,others,C0.2N0.8Nb1,disorder
291811.cif,17.75,others,C0.3N0.7Nb1,disorder
40515.cif,20.0,others,Ba0.54Bi1K0.46O3,disorder
409466.cif,2.91,others,Ba1Bi0.1O3Pb0.9,disorder
41986.cif,41.45,cuprate,Cu1La0.1O2Sr0.9,disorder
41363.cif,92.0,cuprate,Ba2Cu3Er1O6.91,disorder
63403.cif,78.2,cuprate,Ba2Cu3Er1O6.78,disorder
41498.cif,43.0,cuprate,Cu1La2O4.12,disorder
41639.cif,95.16,cuprate,Ba2Cu1Hg1O4.18,disorder
41654.cif,101.0,cuprate,Ba2Ca2Cu3Hg1O8.16,disorder
421388.cif,29.0,others,C60Rb4,disorder
96778.cif,89.5125,cuprate,Ba2Cu3O6.98Y1,disorder
50096.cif,94.2,cuprate,Ba2Cu1Hg1O4.2,disorder
52462.cif,9.7,others,Si0.6Sn0.4V3,disorder
609356.cif,15.7,others,Al0.2Si0.8V3,disorder
57853.cif,18.5,others,Al0.9Ga0.1Nb3,disorder
605379.cif,0.0074,others,Ag0.81In0.19,disorder
612025.cif,0.28,others,Au0.8In0.2,disorder
58501.cif,2.3,others,Au1In1Pd1Y1,disorder
612203.cif,9.226364,others,Au1Nb3,order
59466.cif,4.435,others,In0.9Pb0.1,disorder
640555.cif,3.625,others,In0.05Sn0.95,disorder
640562.cif,5.95,others,In0.75Sn0.25,disorder
59556.cif,3.12,others,In0.1Tl0.9,disorder
59560.cif,3.223,others,In0.8Tl0.2,disorder
606021.cif,0.088,others,Al0.08Au0.92,disorder
606040.cif,0.101,others,Al0.04Au0.92Ga0.04,disorder
606044.cif,0.0555,others,Al0.04Au0.92In0.04,disorder
609358.cif,16.1,others,Al0.1Si0.9V3,disorder
611658.cif,10.1,others,Au0.2C2.6Y1.8,disorder
611863.cif,0.264,others,Au0.9Ga0.1,disorder
611870.cif,0.168,others,Au0.92Ga0.08,disorder
612010.cif,0.0238,others,Au0.92In0.08,disorder
616530.cif,9.35,others,Bi0.2C2.9Y1.8,disorder
616698.cif,5.05,others,Bi0.1In0.9,disorder
616896.cif,8.15,others,Bi0.2Pb0.8,disorder
617561.cif,12.4,others,C2.9Cr0.2Y1.8,disorder
617689.cif,8.2,others,C3Er0.2Th1.8,disorder
617983.cif,10.6,others,C2.7Ge0.2Y1.8,disorder
618108.cif,5.4,others,C3Ho0.2Th1.8,disorder
618369.cif,13.8,others,C2.9Mo0.2Y1.8,disorder
618514.cif,10.8,others,C2.7Nb0.2Y1.8,disorder
618750.cif,11.2,others,C2.7Ru0.2Y1.8,disorder
618775.cif,6.7,others,C3Sc0.2Th1.8,disorder
618809.cif,10.2,others,C2.7Sn0.2Y1.8,disorder
618965.cif,10.7,others,C2.7Ti0.2Y1.8,disorder
619086.cif,11.5,others,C2.9V0.2Y1.8,disorder
619102.cif,14.5,others,C2.9W0.2Y1.8,disorder
619128.cif,13.0,others,C2.9Y1.8Zr0.2,disorder
625996.cif,3.3,heavy-Fermion,Cr0.2Fe0.8U6,disorder
63326.cif,91.65,cuprate,Ba2Cu3O7.1Y1,disorder
63336.cif,89.025,cuprate,Ba2Cu3O6.88Y1,disorder
634056.cif,4.49,others,Fe0.3V1.7Zr1,disorder
63428.cif,67.4,cuprate,Ba2Cu3Nd1O6.85,disorder
635420.cif,11.9,others,Ga0.8Si0.2V3,disorder
635421.cif,8.7,others,Ga0.4Si0.6V3,disorder
63692.cif,59.626,cuprate,Ba2Cu3O6.61Y1,disorder
637920.cif,8.7,others,Ge0.4Si0.6V3,disorder
640018.cif,3.32,others,In3Mo15Se19,disorder
640828.cif,4.675,others,Ir1.15Nb0.85,disorder
645148.cif,2.86,others,Nb0.5Os0.5,disorder
645243.cif,2.43,others,Nb0.4Re0.6,disorder
645246.cif,6.75,others,Nb0.25Re0.75,disorder
645263.cif,3.0,others,Nb0.85Rh1.15,disorder
67342.cif,90.0,cuprate,Ba2Cu3Dy1O6.84,disorder
647720.cif,5.3525,others,Os1P1Zr1,order
648638.cif,6.73,others,Pb0.85Tl0.15,disorder
648639.cif,5.8,others,Pb0.6Tl0.4,disorder
650143.cif,1.58,others,Re0.65Ta0.35,disorder
651574.cif,3.89,others,Sb0.08Sn0.92,disorder
653019.cif,8.7,others,Tc0.875Ti0.125,disorder
65921.cif,45.0,cuprate,Ba2Cu2.9La1O6.82,disorder
653267.cif,6.29,others,Th0.25Zr0.75,disorder
653269.cif,2.58,others,Th0.1Zr0.9,disorder
653292.cif,12.8,others,Ti0.013V0.987,disorder
65387.cif,91.0,cuprate,Ba2Cu3Er1O6.93,disorder
